worker_id,gender,household_income,household_size,location_country,marital_status,year_of_birth,count,participation
5f42dedd22996cea4378d6fe1b852b92,female,"$60,000-$74,999",3,GB,married,1979,1,1
f8fffe2d7f7b3cf732fce91d1101fc64,male,"$75,000-$99,999",3,US,single,1995,1,6
84e69fd1983e5111a2d624a2f59f3198,female,"$75,000-$99,999",4,US,single,1993,1,1
78a808a23e1ca26e8da680148d15d224,male,"$25,000-$39,999",1,US,single,1977,3,3
86724bfcf500825d389111167d2e4b5f,female,"$100,000 or more",3,US,married,1957,1,4
fad11a6b28282cc1f8848b4e1f958061,male,"$100,000 or more",5+,US,single,1995,1,1
3ee130473a68a810fa64957e36500330,female,"$25,000-$39,999",1,US,single,1982,18,18
2c044ef128cd44b5cb9c7d72bd7b2697,female,"Less than $10,000",2,US,single,1988,1,1
f538c0b4da1db60d96a4c3b385db66d2,male,"$100,000 or more",5+,US,single,1997,1,1
4af596170cfe5014e90421b7911cf0b9,male,"$100,000 or more",4,ZZ,married,1975,1,1
54b207cf721d805249a8c498d557fe79,male,"$60,000-$74,999",3,US,married,1986,1,1
ed865fe410c598d013e8d7c037a3dd78,male,"$15,000-$24,999",2,US,married,1988,1,1
9e2a89e6a0177e7dcf7d20d30c0a7e8c,male,"$40,000-$59,999",4,IN,married,1983,1,9
75be9a004db1f967d62739ca57d28808,male,"$15,000-$24,999",3,US,single,1996,2,3
e66406b02cf66313c89a5b591d414e38,male,"$60,000-$74,999",5+,US,cohabitating,1994,1,1
f9577d8591bd489d1a8c91848a4d49d5,male,"$25,000-$39,999",1,US,divorced,1960,1,2
085a7cefeaadff20a9d45f3a569d26ef,male,"$75,000-$99,999",5+,US,single,1989,2,2
c04c59e068d82176d510ef698d4c8624,female,"Less than $10,000",2,US,married,1989,2,8
b382f6263204ae66fa93d1b889016080,female,"$60,000-$74,999",3,US,married,1985,1,1
1fe680b3eab08bd8f1d32e5bcabb115e,male,"$10,000-$14,999",2,ZA,cohabitating,1988,1,1
851be1c2717be5511ecceaab5ec140ac,female,"$75,000-$99,999",3,US,married,1987,1,1
908ef701701951ceccda4b9d74fe17cb,male,"Less than $10,000",1,BE,single,1981,1,2
aa8a9180da9d787080fb7d8d3e20ed67,male,"$25,000-$39,999",2,IN,married,1986,1,9
f3bbf4cdd5c74fa5d3340520651bab62,female,"$100,000 or more",3,US,cohabitating,1982,3,3
7b45227c87680fbdf59a3ae9a0b80dd5,male,"$60,000-$74,999",2,US,cohabitating,1981,1,1
99b844452d60e02942a98a25636fabb1,female,"Less than $10,000",1,US,single,1994,2,2
a8dc59ede670806d50921448f353daf8,male,"Less than $10,000",5+,IN,married,1989,5,7
993ed74a7d0388f29e1572db4129f136,female,"$25,000-$39,999",2,US,married,1988,2,2
7478de7fc679dfe42ae1700d2d1b4046,female,"$40,000-$59,999",4,US,married,1976,1,4
f2d5f058089b4800bff0bbb1cb373dff,male,"$40,000-$59,999",5+,BR,single,1989,1,1
ec9dd0dd61a36342ddef300d39b676a5,female,"$40,000-$59,999",3,US,single,1993,1,1
c74fcb5611790d0e88c6360f9bef46e7,male,"$75,000-$99,999",1,US,engaged,1989,1,1
29dcd28b09b07b6c497f8ee31e7b8c44,female,"Less than $10,000",4,IN,cohabitating,1999,1,8
2278db2a6a9d0103df0ee0a6a9b078f4,female,"$10,000-$14,999",2,US,single,1991,1,1
075f551d2a882a884957814d38a70bee,female,"$40,000-$59,999",2,US,engaged,1989,2,2
68de0cfddab968b7944369e598907a68,female,"$75,000-$99,999",3,US,married,1973,1,1
a6c0b91099f4ab49856a6910fc583711,male,"Less than $10,000",4,IN,single,1995,1,1
601c8128f65367ee1db7813a671e96e7,male,"$15,000-$24,999",3,ES,single,1991,3,4
6df700599e61e743ff4679720f111eb2,male,"$40,000-$59,999",5+,CA,married,1972,1,1
